"Bifidobacterium_breve.t__SGB17247","Veillonella_parvula.t__SGB6939","Lacticaseibacillus_rhamnosus.t__SGB7144","Enterococcus_faecalis.t__SGB7962","Enterobacter_hormaechei.t__SGB10130","Klebsiella_grimontii.t__SGB10120","Staphylococcus_epidermidis.t__SGB7865","Staphylococcus_hominis.t__SGB7858","Streptococcus_vestibularis.t__SGB8003","Veillonella_dispar.t__SGB6952","Veillonella_atypica.t__SGB6936","Cutibacterium_avidum.t__SGB16953","Bifidobacterium_pseudocatenulatum.t__SGB17237","Clostridium_perfringens.t__SGB6191","Staphylococcus_aureus.t__SGB7852","Haemophilus_parainfluenzae.t__SGB9663_group","Finegoldia_magna.t__SGB6686_group","Rothia_mucilaginosa.t__SGB16971_group","Escherichia_coli.t__SGB10068","Bifidobacterium_bifidum.t__SGB17256","Raoultella_ornithinolytica.t__SGB10124","Lactobacillus_acidophilus.t__SGB7044","Klebsiella_variicola.t__SGB10114","Streptococcus_salivarius.t__SGB8007_group","Klebsiella_pneumoniae.t__SGB10115","Streptococcus_parasanguinis.t__SGB8071","Klebsiella_michiganensis.t__SGB10119","Bifidobacterium_longum.t__SGB17248","Enterobacter_asburiae.t__SGB10141","Citrobacter_freundii.t__SGB10083","Enterobacter_kobei.t__SGB10133","Clostridium_neonatale.t__SGB6169"
NA,NA,NA,0.0319176,NA,NA,0.0005796,0.0022955,NA,0.0001649,NA,NA,NA,0.0369948,1.03e-05,0.0004345,NA,NA,NA,NA,NA,NA,NA,7.87e-05,0.6460778,5.82e-05,NA,NA,NA,NA,NA,NA
0.490975303609879,0.0320927871628851,0.00229389908244037,0.00018599992560003,NA,NA,0.00454269818292073,5.99999760000096e-06,0.000109799956080018,0.00306989877204049,0.0115616953753218,0.000235099905960038,NA,NA,0.00110879955648018,NA,NA,NA,NA,NA,NA,NA,NA,9.09999636000146e-06,0.283076286769485,0.00275229889908044,0.00321689871324051,0.00335629865748054,3.17999872800051e-05,NA,NA,NA
NA,NA,NA,NA,NA,NA,0.0162822032564407,0.00345250069050014,NA,0.0263037052607411,0.00118380023676005,0.0183657036731407,NA,NA,NA,0.000279400055880011,NA,NA,NA,NA,NA,NA,NA,0.00326570065314013,0.293477958695592,NA,NA,0.203494940698988,NA,NA,NA,NA
NA,NA,NA,0.279673727967373,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0315058031505803,0.000381800038180004,1.13000011300001e-05,NA,NA,0.688246068824607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,0.0004529,NA,NA,0.0027091,NA,NA,NA,NA,0.0089095,0.013668,NA,NA,NA,NA,NA,NA,NA,NA,0.3675643,0.0005559,0.0233274,NA,0.0001483,0.0353521,NA,0.5461641
NA,0.0002818,NA,0.0041932,NA,NA,0.002275,NA,NA,NA,NA,NA,NA,NA,0.0003084,0.0062443,NA,6.11e-05,NA,NA,NA,NA,NA,NA,NA,0.0031092,NA,NA,NA,NA,NA,0.9776879
0.1398028,NA,NA,NA,NA,NA,0.0007201,NA,NA,NA,NA,NA,NA,NA,0.003293,0.0002744,NA,5.24e-05,0.0161866,0.8063369,NA,NA,NA,0.0044311,NA,NA,NA,0.0216527,NA,NA,NA,0.0001806
NA,0.0066128,NA,0.002375,NA,NA,0.0285311,0.0115721,NA,NA,NA,NA,NA,0.0329901,NA,NA,NA,0.0002585,NA,NA,NA,NA,NA,0.0182293,NA,0.0001878,NA,NA,NA,NA,NA,0.4407509
0.144122571175486,0.00435869912826017,0.000570299885940023,0.00482699903460019,NA,NA,0.0803955839208832,0.000153899969220006,NA,0.00325679934864013,NA,0.000347199930560014,NA,4.9999990000002e-06,0.025212894957421,NA,NA,8.59999828000034e-06,NA,NA,NA,NA,NA,0.0183968963206207,NA,NA,NA,0.619992576001485,0.000701399859720028,NA,NA,NA
0.400551859944814,0.267433573256643,NA,0.0590483940951606,NA,NA,0.105661589433841,NA,NA,NA,NA,NA,NA,NA,NA,0.00419939958006004,NA,1.75999982400002e-05,NA,NA,NA,NA,NA,0.00502659949734005,NA,0.0100727989927201,NA,NA,NA,NA,0.0407572959242704,NA
NA,0.00355430035543004,NA,0.00475550047555005,NA,NA,9.40000094000009e-06,NA,0.000475400047540005,8.49000084900008e-05,0.00290030029003003,NA,NA,0.00103090010309001,3.68000036800004e-05,NA,NA,0.000172800017280002,0.0616137061613706,NA,NA,NA,NA,0.00459730045973005,NA,0.000349900034990004,NA,0.770074877007488,NA,NA,NA,0.00461080046108005
0.000347100034710003,NA,NA,0.000229900022990002,NA,NA,0.00293530029353003,NA,NA,0.00770700077070008,0.000270200027020003,NA,NA,NA,0.00597470059747006,0.00499920049992005,NA,NA,0.553305255330526,NA,NA,NA,0.0528075052807505,6.02000060200006e-05,NA,NA,NA,NA,NA,NA,NA,NA
